Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,Launch Site,Booster Landing
25,,Thaicom 8,"3,100 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>","Success
",F9 FT[,,27 May 2016,21:39,Cape Canaveral,Success
26,,ABS-2A,"3,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",F9 FT[,,15 June 2016,14:29,Cape Canaveral,Failure
27,,SpaceX CRS-9,"2,257 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FT[,,18 July 2016,04:45,Cape Canaveral,Success
28,,JCSAT-16,"4,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">SKY Perfect JSAT Group</a>","Success
",F9 FT[,,14 August 2016,05:26,Cape Canaveral,Success
29,,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",F9 FT[,,14 January 2017,17:54,VAFB,Success
30,,SpaceX CRS-10,"2,490 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FT[,,19 February 2017,14:39,KSC,Success
31,,EchoStar 23,"5,600 kg",GTO,"<a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>","Success
",F9 FT[,,16 March 2017,06:00,KSC,No attempt
32,,SES-10,"5,300 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,F9 FT♺[,,30 March 2017,22:27,KSC,Success
33,,NROL-76,C,LEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",F9 FT[,,1 May 2017,11:15,KSC,Success
34,,Inmarsat-5 F4,"6,070 kg",GTO,"<a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>","Success
",F9 FT[,,15 May 2017,23:21,KSC,No attempt
35,,SpaceX CRS-11,"2,708 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FT[,,3 June 2017,21:07,KSC,Success
36,,BulgariaSat-1,"3,669 kg",GTO,"<a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>","Success
",F9 FTB1029.2195,,23 June 2017,19:10,KSC,Success
37,,Iridium NEXT,"9,600 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",F9 FT[,,25 June 2017,20:25,VAFB,Success
38,,Intelsat 35e,"6,761 kg",GTO,"<a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>","Success
",F9 FT[,,5 July 2017,23:38,KSC,No attempt
39,,SpaceX CRS-12,"3,310 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 B4[,,14 August 2017,16:31,KSC,Success
40,,Formosat-5,475 kg,SSO,"<a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>","Success
",F9 FT[,,24 August 2017,18:51,VAFB,Success
41,,Boeing X-37B,"4,990 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",F9 B4[,,7 September 2017,14:00,KSC,Success
42,,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",F9 B4[,,9 October 2017,12:37,VAFB,Success
43,,SES-11,"5,200 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a>","Success
",F9 FTB1031.2220,,11 October 2017,22:53:00,KSC,Success
44,,Koreasat 5A,"3,500 kg",GTO,"<a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>","Success
",F9 B4[,,30 October 2017,19:34,KSC,Success
45,,SpaceX CRS-13,"2,205 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 FTB1035.2227,,15 December 2017,15:36,Cape Canaveral,Success
46,,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,F9 FTB1036.2227,,23 December 2017,01:27,VAFB,Controlled
47,,Zuma,C,LEO,"<a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a>",Success,F9 B4[,,8 January 2018,01:00,CCAFS,Success
48,,GovSat-1,"4,230 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,F9 FTB1032.2245,,31 January 2018,21:25,CCAFS,Controlled
49,,Paz,"2,150 kg",SSO,"<a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a>",Success,F9 FTB1038.2268,,22 February 2018,14:17,VAFB,No attempt
